field_of_view,0,1,2,3
UC c_14,0.0,0.00030349013657056146,0.40273141122913503,0.5969650986342944
UC c_15,0.0,0.0006607201850016518,0.35612817971589034,0.643211100099108
UC c_16,0.0,0.0012326656394453005,0.37010785824345144,0.6286594761171033
UC c_17,0.0,0.0003303600925008259,0.28906508093822264,0.7106045589692765
UC c_18,0.0,0.0002998500749625187,0.26326836581709145,0.7364317841079461
UC c_19,0.0,0.0,0.07310081223124701,0.926899187768753
UC c_2,0.0,0.0004,0.1692,0.8304
UC c_20,0.0,0.00044483985765124553,0.07295373665480427,0.9266014234875445
UC c_21,0.0,0.0013812154696132596,0.09392265193370165,0.9046961325966851
UC c_3,0.0,0.00039261876717707107,0.17432273262661954,0.8252846486062034
UC c_4,0.0,0.0,0.0035714285714285713,0.9964285714285714
UC c_5,0.0,0.007707129094412331,0.0,0.9922928709055877
UC c_6,0.0,0.00041562759767248546,0.2955112219451372,0.7040731504571903
UC c_7,0.0,0.0009904258831297458,0.28788379002971276,0.7111257840871574
UC c_8,0.0,0.0013409319477036541,0.22024807241032518,0.7784109956419711
UC c_9,0.0,0.0003714710252600297,0.37667161961367013,0.6229569093610698
