field_of_view,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-3,enrichment_3-4,enrichment_4-4,Disease/Health State
UC b_14,2.577256515649527,0.0,-0.2430717683294698,0.0256030003550968,0.0,0.0,0.0,-3.4061189205667555,-0.1399671150990374,0.0021086090576018,UC b
UC b_15,-0.0098535622763511,0.0,-0.3260469493396116,-0.0286094998907951,0.0,0.0,0.0,-0.2061196053529501,-0.1149893474241969,0.0023361453328483,UC b
UC b_16,1.104664080268822,-0.3171387503443106,0.358585638361111,-0.0372379153039527,-0.007527074836741,-0.2361609253355403,-0.8678820558569067,0.3529072622370741,-0.1219046907706232,0.0023049146532934,UC b
UC b_17,-0.7723921124068811,0.0,-1.738434399498949,0.1577584829065071,0.0,0.0,0.0,-0.3155173393013327,-0.3499046662471839,0.0053468380778375,UC b
UC b_18,1.7773692880322645,1.0837032755728566,0.3392566853423721,0.0001674669326912,-0.1563781802113403,-0.7543868933349418,-0.2722063719393937,-0.7716003287486173,-0.2070864259515638,0.0030532075778015,UC b
UC b_2,1.8823636900219127,0.0,-0.047289981151515,-0.1526502510018408,0.0,0.0,0.0,2.506445248588458,-0.1983455937416908,0.0034549193206896,UC b
UC b_20,-0.0180517992764002,0.0,-0.4799276187900388,-0.0280591079524574,0.0,0.0,0.0,-0.3297919197353636,-0.1404403752891768,0.0040255732958987,UC b
UC b_21,1.191639421814007,0.0,-3.0665671757166053,0.0609097676685528,0.0,0.0,0.0,-2.592230083243393,-0.2525353213866621,0.0018319254952998,UC b
UC b_22,0.1552860118364915,0.0,0.3479310897788871,0.0617581692713731,0.0,0.0,0.0,0.1552860118364915,-0.2066436970646727,0.0018268919311007,UC b
UC b_23,1.23218966210854,0.6550509911464343,1.2171260433029938,-0.0100173639857362,-0.0092484053965817,-0.1496868495025028,-0.3560844973914645,0.8066258216127098,-0.1302327479943884,0.0009660373498793,UC b
UC b_24,1.836150927894576,1.4976440334636028,-0.1873276751655479,-0.105752699066868,-0.0338105997492538,-0.3612629974822145,-0.836681025951143,0.6650723714737978,-0.2287221146396833,0.0050985675730608,UC b
UC b_3,2.0186556339555866,-0.6521938053125939,1.304612108099282,-0.1122672323221193,1.3333722047115557,-0.0115670531482059,-0.191401052403373,-2.68239326622142,-0.1937265366642948,0.0033386856615024,UC b
UC b_4,-0.4030115771732998,-0.1866446474643193,-1.223483562861127,0.2210209639484193,-0.08296354539222,-0.6527711548454903,-0.0483836010704649,0.1000237553330457,-0.2099086726577568,0.0021295783235438,UC b
UC b_5,2.881219366240582,-0.5941995889835291,-0.8870505379272954,0.4219001018671774,-0.4219708541145321,0.3526754566798065,-0.6160007540615101,-0.9588561503800532,-0.2306139135299718,0.000437019824695,UC b
UC b_6,3.603242046499019,-0.2536269733884761,0.177227196057427,0.3028234243920354,-0.0495548799189313,-0.1887582127560723,-0.5424120967632553,-0.6407402470465968,-0.1457256055947851,-0.0020827506686788,UC b
UC b_7,-0.1678416162387247,-0.0438262217022081,-0.6370950752192949,0.1246801202134815,-0.0110820005557873,-0.1875126744611883,-0.2575831476989272,0.5152429413564541,-0.0118124242820798,-4.418297053136793e-05,UC b
UC b_8,3.057080970227396,-0.3476290410643545,0.8083851029974298,-0.2334890823509758,-0.0387827948647241,-0.3781947228457109,-0.7999743631684811,0.2186455824635318,-0.2354724487025178,0.0053377308312756,UC b
UC b_9,2.987646598137504,-0.9917126281433228,-0.579442879045435,0.7255045695929728,-0.6718608435274727,-0.3746925970208478,-0.2677353972701898,-0.1994765234587459,0.0281040936921835,-0.018476417989108,UC b
UC c_1,0.0,0.0,0.0,0.0,-0.0126330086198534,0.6657736372301076,0.0567327676515802,2.080172065267647,-0.8659119700412631,0.0665324707678404,UC c
UC c_10,0.0,0.0,0.0,0.0,-0.0396823637876596,0.4511257056326644,-0.5348240121394915,1.2006336022479942,-0.851198769852966,0.2006288511289658,UC c
UC c_11,0.0,0.0,0.0,0.0,-0.0102025025136303,0.085838118127742,-0.3788661620815813,0.7820571193054344,-0.5592443445569062,0.1931779293180041,UC c
UC c_12,0.0,0.0,0.0,0.0,-0.04581154882831,0.0586114494582012,0.1263104578663069,0.6416010025116403,-0.8557120351757518,0.4401161113642073,UC c
UC c_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9108784384262096,-0.3092714641196112,0.0175109937885348,UC c
UC c_14,0.0,0.0,0.0,0.0,-0.0103078929995949,-3.3944067323541267,0.3310382261453142,0.6983992890636531,-0.7139572894680439,0.3146194080858359,UC c
UC c_15,0.0,0.0,0.0,0.0,-0.0432003786324051,-0.9497643329937716,0.1524022260309269,0.8926224956434377,-0.8500458496977882,0.2995829545555049,UC c
UC c_16,0.0,0.0,0.0,0.0,-0.158154964789461,0.0865752173818116,-0.1276495776278016,0.7135301251576007,-0.7244616908435454,0.3141339058741297,UC c
UC c_17,0.0,0.0,0.0,0.0,-0.0109254117232373,0.2341904654212891,-0.1169620632666243,1.262470437223851,-0.9917841165093024,0.2301254840635857,UC c
UC c_18,0.0,0.0,0.0,0.0,-0.0101567367246489,0.9587512132981932,-0.1103652289160526,1.0958603516623662,-0.6773561321702036,0.1664183992914107,UC c
UC c_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.080435902602452,-0.1160049869352258,-0.0115625257153563,UC c
UC c_2,0.0,0.0,0.0,0.0,-0.0117846069027247,0.161843001649217,-0.2652117060257885,1.9532642741571613,-0.9147477172802008,0.1005486363000744,UC c
UC c_20,0.0,0.0,0.0,0.0,-0.0137788278227072,-0.3639154142868932,-0.806635431501878,2.296608490866186,-0.2105405914138347,-0.0036144583931187,UC c
UC c_21,0.0,0.0,0.0,0.0,-0.1097461247393754,-2.6723364018282503,-0.2953843738383399,2.588998752227479,-0.2263723472828533,-0.0338083293593926,UC c
UC c_3,0.0,0.0,0.0,0.0,-0.0117516143146032,-2.211453224839197,-0.600267539282084,1.9535672049907349,-0.8177835384182147,0.0773510583906128,UC c
UC c_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1674038084184744,-0.3878103737069358,0.0025247762787147,UC c
UC c_5,0.0,0.0,0.0,0.0,-0.3640344969414979,0.0,-0.2919771778051585,0.0,0.0,0.004296899162316,UC c
UC c_6,0.0,0.0,0.0,0.0,-0.0130122444922067,0.9117031613137578,0.1388849369787717,1.2771771807749517,-0.9411235552149694,0.2026206806402047,UC c
UC c_7,0.0,0.0,0.0,0.0,-0.0954958682487204,-2.384814386608644,0.4815486195144753,1.2730404503946926,-1.012863880931246,0.2339627904967966,UC c
UC c_8,0.0,0.0,0.0,0.0,-0.1599293504286453,-2.755274010473636,-0.2027504273473878,1.5492418996077404,-0.8501892696560196,0.1362542818426565,UC c
UC c_9,0.0,0.0,0.0,0.0,-0.0119283106383338,-2.23550998281699,0.1879932246849573,0.950852384039609,-0.8745164502407748,0.2738614422175729,UC c
