field_of_view,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-1,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-1,enrichment_3-2,enrichment_3-3,enrichment_3-4,enrichment_4-1,enrichment_4-2,enrichment_4-3,enrichment_4-4
CD c_13,1.870689478305828,0.0,-4.717048488796121,0.1524322317877185,0.0,0.0,0.0,0.0,-4.717048488796121,0.0,2.379612136742322,-1.1201897708353798,0.1524322317877185,0.0,-1.1201897708353798,0.09276928896462307
CD c_14,1.6886467839554231,0.0,-3.1365339261760434,-0.004973728140927644,0.0,0.0,0.0,0.0,-3.1365339261760434,0.0,2.1778491064705507,-0.905635304752763,-0.004973728140927644,0.0,-0.905635304752763,0.07739983249723348
CD c_15,-0.0214314161539674,0.0,-1.975754255403237,0.5980958586316188,0.0,0.0,0.0,0.0,-1.975754255403237,0.0,1.9588783880132674,-0.8165245439753572,0.5980958586316188,0.0,-0.8165245439753572,0.08891912237644374
CD c_17,2.8134402556594775,0.0,-1.8912601549880204,0.0669270843810611,0.0,0.0,0.0,0.0,-1.8912601549880204,0.0,2.8421820927514343,-0.5757091629795147,0.0669270843810611,0.0,-0.5757091629795147,0.012955863056714178
CD c_2,1.336405565299736,0.0,-4.0091948917051,0.15604435445268416,0.0,0.0,0.0,0.0,-4.0091948917051,0.0,1.995592591733517,-0.643515272606957,0.15604435445268416,0.0,-0.643515272606957,0.023460043544310524
CD c_3,-0.010891837024516363,0.0,-0.6352527231103586,-0.18662173280248484,0.0,0.0,0.0,0.0,-0.6352527231103586,0.0,3.283623819847089,-0.7050950791858788,-0.18662173280248484,0.0,-0.7050950791858788,0.018856223805528403
CD c_4,5.1524079755327215,0.0,-1.6874597301636656,0.12170282738641933,0.0,0.0,0.0,0.0,-1.6874597301636656,0.0,-0.3619296383899945,-0.22079471777617712,0.12170282738641933,0.0,-0.22079471777617712,-0.0011804348069544117
CD c_5,2.1857366542567505,0.0,-2.721045000105207,-0.011905105222100918,0.0,0.0,0.0,0.0,-2.721045000105207,0.0,1.7097115068611584,-0.6408102529962747,-0.011905105222100918,0.0,-0.6408102529962747,0.04777363369293705
CD c_6,-0.19368027520462666,0.0,-0.8149431908941135,0.3750042697494574,0.0,0.0,0.0,0.0,-0.8149431908941135,0.0,1.2039824766583833,-0.4838761034065577,0.3750042697494574,0.0,-0.4838761034065577,0.07252538899647255
CD c_7,-0.7111758363527991,0.0,-1.6583808148820918,0.24806167383129932,0.0,0.0,0.0,0.0,-1.6583808148820918,0.0,1.7525076003004925,-0.6556379012310855,0.24806167383129932,0.0,-0.6556379012310855,0.06818356080042
CD c_8,2.0699912313303783,0.0,-1.0270518519968812,0.11801096579207684,0.0,0.0,0.0,0.0,-1.0270518519968812,0.0,1.782803583343037,-0.5592330687366889,0.11801096579207684,0.0,-0.5592330687366889,0.032428912548309305
CD c_9,-0.5062778252271113,0.0,-1.1337354545823501,0.21754367553700463,0.0,0.0,0.0,0.0,-1.1337354545823501,0.0,2.6746412245981026,-0.603942017178308,0.21754367553700463,0.0,-0.603942017178308,0.026251305970679668
HC a_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3609514789352013,-0.34144833934306396,0.0,0.0,-0.34144833934306396,0.040232524445418916
HC a_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0227618809150094,-0.3568126352611077,0.0,0.0,-0.3568126352611077,0.020748142732469322
HC a_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4616135729853568,-0.484992403834778,0.0,0.0,-0.484992403834778,0.05925169200695187
HC a_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8663389745841155,-0.5563155653973088,0.0,0.0,-0.5563155653973088,0.12103647818740906
HC a_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3926826601167555,-0.6350062361606306,0.0,0.0,-0.6350062361606306,0.08181411464063791
HC a_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1178643357513285,-0.43110748055354625,0.0,0.0,-0.43110748055354625,0.07146000324998496
HC a_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2444018613320693,-0.5510184774108745,0.0,0.0,-0.5510184774108745,0.0890569211391581
HC a_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6849333253966203,-0.4716907286124504,0.0,0.0,-0.4716907286124504,0.04968791828932401
HC a_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9030776137217594,-0.5144472304793223,0.0,0.0,-0.5144472304793223,0.13985212602788594
HC a_19,0.0,0.0,0.0,0.0,0.0,-0.016279512811499485,-2.9160558707817987,-0.20099259822622417,0.0,-2.9160558707817987,1.0035918331399423,-0.61823563133969,0.0,-0.20099259822622417,-0.61823563133969,0.15587983492497295
